,tmp,cat,sub_cat,model,em_sum,em_mean,em_ci,ea_sum,ea_mean,ea_ci,rea_sum,rea_mean,rea_ci,et_sum,et_mean,et_ci,cc_sum,cc_mean,cc_ci,tokens_sum,tokens_mean,tokens_ci,count_sum,count_mean,count_ci
70,0.2,c5,s29,dail,0,0.0,"(0.00%, 0.00%)",30,0.48,"(37.15%, 58.08%)",32,0.51,"(40.32%, 61.27%)",9990818.0,158584.41,"(4735703.12%, 26981179.42%)",52,0.83,"(74.58%, 90.49%)",666896,10585.65,"(739344.00%, 1377786.16%)",63,1.0,"(100.00%, 100.00%)"
71,0.2,c5,s29,din,0,0.0,"(0.00%, 0.00%)",27,0.43,"(32.49%, 53.23%)",32,0.51,"(40.32%, 61.27%)",1168488.0,18547.43,"(901762.93%, 2807722.79%)",56,0.89,"(82.30%, 95.47%)",1323508,21008.06,"(1961749.79%, 2239862.90%)",63,1.0,"(100.00%, 100.00%)"
72,0.2,c6,s31,dail,0,0.0,"(0.00%, 0.00%)",41,0.28,"(22.25%, 34.70%)",65,0.45,"(38.27%, 52.01%)",559856.0,3887.89,"(228279.73%, 549298.05%)",126,0.88,"(82.94%, 92.06%)",1202162,8348.35,"(659399.54%, 1010269.91%)",144,1.0,"(100.00%, 100.00%)"
73,0.2,c6,s31,din,1,0.01,"(-0.45%, 1.84%)",37,0.26,"(19.67%, 31.72%)",68,0.47,"(40.33%, 54.11%)",258076.0,1792.19,"(108302.79%, 250136.10%)",132,0.92,"(87.85%, 95.48%)",2197418,15259.85,"(1418079.71%, 1633889.73%)",144,1.0,"(100.00%, 100.00%)"
74,0.2,c6,s32,dail,20,0.02,"(1.01%, 2.17%)",541,0.43,"(40.73%, 45.34%)",590,0.47,"(44.61%, 49.26%)",78928436.0,62791.12,"(4914490.56%, 7643733.15%)",1234,0.98,"(97.55%, 98.79%)",10789683,8583.68,"(803259.18%, 913476.38%)",1257,1.0,"(100.00%, 100.00%)"
75,0.2,c6,s32,din,14,0.01,"(0.63%, 1.60%)",546,0.43,"(41.13%, 45.74%)",627,0.5,"(47.55%, 52.21%)",82501436.0,65633.6,"(4305968.13%, 8820752.00%)",1195,0.95,"(94.06%, 96.08%)",31130817,24765.96,"(2436748.74%, 2516444.10%)",1257,1.0,"(100.00%, 100.00%)"
76,0.2,c6,s33,dail,0,0.0,"(0.00%, 0.00%)",0,0.0,"(0.00%, 0.00%)",0,0.0,"(0.00%, 0.00%)",8043523.0,111715.6,"(5363422.62%, 16979696.83%)",62,0.86,"(79.34%, 92.88%)",4644458,64506.36,"(6400763.96%, 6500508.26%)",72,1.0,"(100.00%, 100.00%)"
77,0.2,c6,s33,din,0,0.0,"(0.00%, 0.00%)",0,0.0,"(0.00%, 0.00%)",24,0.33,"(24.10%, 42.56%)",2492720.0,34621.11,"(128803.07%, 6795419.16%)",51,0.71,"(61.93%, 79.73%)",3242669,45037.07,"(4486561.98%, 4520851.91%)",72,1.0,"(100.00%, 100.00%)"
78,0.2,c6,s34,dail,0,0.0,"(0.00%, 0.00%)",0,0.0,"(0.00%, 0.00%)",0,0.0,"(0.00%, 0.00%)",3439582.0,47771.97,"(1593791.30%, 7960603.14%)",44,0.61,"(51.56%, 70.66%)",4399460,61103.61,"(5786359.02%, 6434363.21%)",72,1.0,"(100.00%, 100.00%)"
79,0.2,c6,s34,din,0,0.0,"(0.00%, 0.00%)",0,0.0,"(0.00%, 0.00%)",22,0.31,"(21.54%, 39.58%)",9583532.0,133104.61,"(-500276.45%, 27121198.67%)",52,0.72,"(63.45%, 80.99%)",3197060,44403.61,"(4381948.20%, 4498774.02%)",72,1.0,"(100.00%, 100.00%)"
80,0.5,c1,s0,dail,268,0.64,"(59.94%, 67.68%)",250,0.6,"(55.57%, 63.48%)",294,0.7,"(66.31%, 73.69%)",10196305.0,24276.92,"(1498118.38%, 3357264.96%)",278,0.66,"(62.38%, 70.00%)",1807464,4303.49,"(410416.36%, 450280.78%)",420,1.0,"(100.00%, 100.00%)"
81,0.5,c1,s0,din,269,0.64,"(60.18%, 67.92%)",252,0.6,"(56.05%, 63.95%)",292,0.7,"(65.81%, 73.23%)",12402021.0,29528.62,"(1588068.77%, 4317655.51%)",263,0.63,"(58.72%, 66.52%)",6564215,15629.08,"(1496905.46%, 1628911.21%)",420,1.0,"(100.00%, 100.00%)"
82,0.5,c1,s1,dail,937,0.89,"(87.12%, 90.34%)",933,0.88,"(86.72%, 89.98%)",996,0.94,"(93.14%, 95.49%)",643636.0,609.5,"(56724.73%, 65176.03%)",982,0.93,"(91.70%, 94.29%)",2774930,2627.77,"(258210.16%, 267344.76%)",1056,1.0,"(100.00%, 100.00%)"
83,0.5,c1,s1,din,925,0.88,"(85.92%, 89.27%)",949,0.9,"(88.33%, 91.40%)",994,0.94,"(92.93%, 95.32%)",553956.0,524.58,"(49193.84%, 55722.07%)",989,0.94,"(92.42%, 94.89%)",10502137,9945.21,"(987143.40%, 1001897.70%)",1056,1.0,"(100.00%, 100.00%)"
84,0.5,c1,s2,dail,43,0.8,"(70.50%, 88.76%)",46,0.85,"(77.13%, 93.24%)",52,0.96,"(92.02%, 100.58%)",32012.0,592.81,"(48670.73%, 69892.23%)",52,0.96,"(92.02%, 100.58%)",113571,2103.17,"(195710.20%, 224923.14%)",54,1.0,"(100.00%, 100.00%)"
85,0.5,c1,s2,din,43,0.8,"(70.50%, 88.76%)",49,0.91,"(84.17%, 97.31%)",54,1.0,"(100.00%, 100.00%)",25271.0,467.98,"(41107.77%, 52488.53%)",54,1.0,"(100.00%, 100.00%)",489371,9062.43,"(897431.46%, 915053.73%)",54,1.0,"(100.00%, 100.00%)"
86,0.5,c2,s3,dail,1173,0.92,"(90.52%, 93.05%)",1160,0.91,"(89.43%, 92.10%)",1245,0.97,"(96.69%, 98.15%)",785448.0,614.59,"(57348.76%, 65569.55%)",1265,0.99,"(98.52%, 99.45%)",2664165,2084.64,"(205679.04%, 211248.19%)",1278,1.0,"(100.00%, 100.00%)"
87,0.5,c2,s3,din,1186,0.93,"(91.61%, 93.99%)",1166,0.91,"(89.93%, 92.54%)",1228,0.96,"(95.19%, 96.98%)",638383.0,499.52,"(48020.32%, 51883.12%)",1269,0.99,"(98.91%, 99.68%)",11970369,9366.49,"(932807.19%, 940490.00%)",1278,1.0,"(100.00%, 100.00%)"
88,0.5,c2,s4,dail,2370,0.75,"(73.90%, 76.44%)",2383,0.76,"(74.32%, 76.84%)",2642,0.84,"(82.71%, 84.88%)",35198308.0,11163.43,"(828555.30%, 1404131.53%)",2728,0.87,"(85.52%, 87.52%)",10475842,3322.5,"(326139.60%, 338360.37%)",3153,1.0,"(100.00%, 100.00%)"
89,0.5,c2,s4,din,2294,0.73,"(71.45%, 74.06%)",2348,0.74,"(73.19%, 75.75%)",2578,0.82,"(80.63%, 82.90%)",35151519.0,11148.59,"(760322.59%, 1469396.34%)",2762,0.88,"(86.63%, 88.57%)",47666722,15117.89,"(1485901.44%, 1537677.50%)",3153,1.0,"(100.00%, 100.00%)"
90,0.5,c2,s5,dail,22,0.14,"(9.68%, 19.07%)",66,0.43,"(36.51%, 49.77%)",81,0.53,"(46.26%, 59.62%)",19701432.0,128767.53,"(7600606.42%, 18152899.46%)",74,0.48,"(41.68%, 55.05%)",996632,6513.93,"(606368.01%, 696418.92%)",153,1.0,"(100.00%, 100.00%)"
91,0.5,c2,s5,din,26,0.17,"(11.97%, 22.02%)",67,0.44,"(37.15%, 50.43%)",81,0.53,"(46.26%, 59.62%)",15215205.0,99445.78,"(5409151.41%, 14480005.46%)",76,0.5,"(42.98%, 56.36%)",3955463,25852.7,"(2431608.86%, 2738931.01%)",153,1.0,"(100.00%, 100.00%)"
92,0.5,c2,s6,dail,3344,0.79,"(77.51%, 79.59%)",3708,0.87,"(86.26%, 87.95%)",3786,0.89,"(88.14%, 89.73%)",56870939.0,13359.39,"(1024037.67%, 1647841.07%)",3949,0.93,"(92.11%, 93.42%)",10970176,2576.97,"(253908.15%, 261486.54%)",4257,1.0,"(100.00%, 100.00%)"
93,0.5,c2,s6,din,2722,0.64,"(62.73%, 65.16%)",3594,0.84,"(83.51%, 85.34%)",3670,0.86,"(85.34%, 87.08%)",45050343.0,10582.65,"(740010.74%, 1376519.35%)",3876,0.91,"(90.33%, 91.77%)",54382222,12774.78,"(1259946.06%, 1295009.17%)",4257,1.0,"(100.00%, 100.00%)"
94,0.5,c2,s7,dail,1134,0.56,"(54.26%, 57.90%)",1461,0.72,"(70.61%, 73.90%)",1603,0.79,"(77.79%, 80.77%)",40501281.0,20030.31,"(1434933.54%, 2571127.89%)",1503,0.74,"(72.73%, 75.94%)",7934659,3924.16,"(383663.02%, 401169.72%)",2022,1.0,"(100.00%, 100.00%)"
95,0.5,c2,s7,din,914,0.45,"(43.38%, 47.03%)",1347,0.67,"(64.89%, 68.35%)",1497,0.74,"(72.43%, 75.64%)",26021032.0,12868.96,"(892310.21%, 1681481.28%)",1253,0.62,"(60.19%, 63.75%)",30972683,15317.85,"(1496425.88%, 1567143.16%)",2022,1.0,"(100.00%, 100.00%)"
96,0.5,c2,s8,dail,776,0.79,"(76.47%, 80.78%)",709,0.72,"(69.47%, 74.20%)",856,0.87,"(84.94%, 88.51%)",32637634.0,33067.51,"(2054916.82%, 4558585.52%)",862,0.87,"(85.59%, 89.08%)",2815314,2852.4,"(277337.95%, 293141.07%)",987,1.0,"(100.00%, 100.00%)"
97,0.5,c2,s8,din,772,0.78,"(76.05%, 80.39%)",702,0.71,"(68.74%, 73.51%)",852,0.86,"(84.52%, 88.13%)",27371017.0,27731.53,"(1666614.79%, 3879690.58%)",896,0.91,"(89.26%, 92.30%)",11823287,11979.01,"(1162325.89%, 1233476.95%)",987,1.0,"(100.00%, 100.00%)"
98,0.5,c2,s9,dail,1661,0.6,"(58.71%, 61.78%)",1712,0.62,"(60.57%, 63.62%)",2322,0.84,"(83.08%, 85.37%)",28139516.0,10206.57,"(603020.75%, 1438293.43%)",2196,0.8,"(78.39%, 80.92%)",9472834,3435.92,"(340001.53%, 347182.66%)",2757,1.0,"(100.00%, 100.00%)"
99,0.5,c2,s9,din,1019,0.37,"(35.44%, 38.48%)",1699,0.62,"(60.10%, 63.15%)",2208,0.8,"(78.83%, 81.34%)",41970690.0,15223.32,"(627610.26%, 2417053.50%)",1953,0.71,"(69.41%, 72.27%)",30957291,11228.61,"(1108904.59%, 1136818.37%)",2757,1.0,"(100.00%, 100.00%)"
100,0.5,c3,s12,dail,220,0.76,"(71.44%, 79.76%)",208,0.71,"(67.10%, 75.85%)",236,0.81,"(77.31%, 84.89%)",8485354.0,29159.29,"(1358078.02%, 4473780.40%)",268,0.92,"(89.48%, 94.71%)",1051384,3613.0,"(347731.73%, 374868.95%)",291,1.0,"(100.00%, 100.00%)"
101,0.5,c3,s12,din,204,0.7,"(65.67%, 74.54%)",222,0.76,"(72.17%, 80.41%)",238,0.82,"(78.05%, 85.53%)",9601749.0,32995.7,"(1666287.68%, 4932852.52%)",273,0.94,"(91.48%, 96.15%)",4142852,14236.6,"(1357235.00%, 1490085.96%)",291,1.0,"(100.00%, 100.00%)"
102,0.5,c3,s13,dail,1496,0.7,"(68.40%, 71.67%)",1604,0.75,"(73.55%, 76.64%)",1820,0.85,"(83.94%, 86.47%)",2011287.0,941.61,"(84130.36%, 104192.39%)",1891,0.89,"(87.39%, 89.67%)",7871285,3685.06,"(365272.21%, 371739.50%)",2136,1.0,"(100.00%, 100.00%)"
103,0.5,c3,s13,din,1287,0.6,"(58.51%, 62.00%)",1476,0.69,"(67.45%, 70.75%)",1678,0.79,"(77.09%, 80.02%)",1467820.0,687.18,"(62360.44%, 75075.89%)",1719,0.8,"(79.06%, 81.89%)",23983919,11228.43,"(1116895.60%, 1128789.70%)",2136,1.0,"(100.00%, 100.00%)"
104,0.5,c3,s14,dail,168,0.46,"(41.96%, 50.61%)",100,0.28,"(23.67%, 31.42%)",266,0.73,"(69.44%, 77.12%)",3347336.0,9221.31,"(410543.65%, 1433718.60%)",336,0.93,"(90.29%, 94.84%)",1593233,4389.07,"(416692.62%, 461121.70%)",363,1.0,"(100.00%, 100.00%)"
105,0.5,c3,s14,din,174,0.48,"(43.60%, 52.27%)",121,0.33,"(29.25%, 37.42%)",244,0.67,"(63.15%, 71.29%)",2714724.0,7478.58,"(400731.41%, 1094984.29%)",327,0.9,"(87.49%, 92.67%)",5392165,14854.45,"(1395299.25%, 1575590.56%)",363,1.0,"(100.00%, 100.00%)"
106,0.5,c3,s15,dail,186,0.09,"(7.89%, 9.95%)",954,0.46,"(43.95%, 47.56%)",1332,0.64,"(62.15%, 65.62%)",11724705.0,5623.36,"(315182.39%, 809489.55%)",1500,0.72,"(70.32%, 73.57%)",9819531,4709.61,"(467344.73%, 474576.71%)",2085,1.0,"(100.00%, 100.00%)"
107,0.5,c3,s15,din,120,0.06,"(4.91%, 6.60%)",1071,0.51,"(49.56%, 53.17%)",1474,0.71,"(69.05%, 72.34%)",9275020.0,4448.45,"(247349.54%, 642340.63%)",1014,0.49,"(46.83%, 50.44%)",24610480,11803.59,"(1173419.07%, 1187298.43%)",2085,1.0,"(100.00%, 100.00%)"
108,0.5,c3,s16,dail,452,0.3,"(28.29%, 32.22%)",1012,0.68,"(65.74%, 69.73%)",1243,0.83,"(81.60%, 84.80%)",4899802.0,3279.65,"(217244.54%, 438686.12%)",1394,0.93,"(92.24%, 94.37%)",6303492,4219.2,"(417334.66%, 426506.30%)",1494,1.0,"(100.00%, 100.00%)"
109,0.5,c3,s16,din,280,0.19,"(17.08%, 20.41%)",1060,0.71,"(69.01%, 72.89%)",1196,0.8,"(78.35%, 81.76%)",3727063.0,2494.69,"(130971.54%, 367965.94%)",1014,0.68,"(65.88%, 69.87%)",18251278,12216.38,"(1207642.08%, 1235634.76%)",1494,1.0,"(100.00%, 100.00%)"
110,0.5,c3,s17,dail,485,0.62,"(59.31%, 65.05%)",583,0.75,"(72.18%, 77.31%)",654,0.84,"(81.67%, 86.02%)",9192296.0,11784.99,"(572324.02%, 1784674.95%)",713,0.91,"(89.75%, 93.07%)",2761062,3539.82,"(342700.83%, 365263.79%)",780,1.0,"(100.00%, 100.00%)"
111,0.5,c3,s17,din,455,0.58,"(55.42%, 61.25%)",565,0.72,"(69.79%, 75.08%)",640,0.82,"(79.78%, 84.32%)",12619554.0,16178.92,"(472851.57%, 2762931.50%)",711,0.91,"(89.48%, 92.83%)",11376535,14585.3,"(1409893.94%, 1507166.32%)",780,1.0,"(100.00%, 100.00%)"
112,0.5,c3,s18,dail,14,0.31,"(19.60%, 42.63%)",23,0.51,"(38.68%, 63.55%)",23,0.51,"(38.68%, 63.55%)",265973.0,5910.51,"(209331.73%, 972770.50%)",29,0.64,"(52.54%, 76.35%)",310103,6891.18,"(588824.32%, 789411.24%)",45,1.0,"(100.00%, 100.00%)"
113,0.5,c3,s18,din,11,0.24,"(13.75%, 35.13%)",16,0.36,"(23.65%, 47.46%)",21,0.47,"(34.26%, 59.08%)",281121.0,6247.13,"(175932.87%, 1073493.80%)",22,0.49,"(36.45%, 61.32%)",1717634,38169.64,"(3472081.98%, 4161846.91%)",45,1.0,"(100.00%, 100.00%)"
114,0.5,c3,s19,dail,1699,0.53,"(51.33%, 54.23%)",2185,0.68,"(66.52%, 69.24%)",2434,0.76,"(74.36%, 76.86%)",112112904.0,34828.49,"(2910529.29%, 4055168.38%)",2903,0.9,"(89.32%, 91.05%)",13501612,4194.35,"(412463.71%, 426406.25%)",3219,1.0,"(100.00%, 100.00%)"
115,0.5,c3,s19,din,1232,0.38,"(36.86%, 39.69%)",2038,0.63,"(61.91%, 64.71%)",2266,0.7,"(69.07%, 71.72%)",101263337.0,31458.01,"(2549651.68%, 3741950.49%)",2805,0.87,"(86.17%, 88.11%)",57452666,17847.99,"(1753549.37%, 1816047.77%)",3219,1.0,"(100.00%, 100.00%)"
116,0.5,c4,s20,dail,440,0.65,"(61.87%, 67.92%)",551,0.81,"(78.79%, 83.74%)",584,0.86,"(83.94%, 88.33%)",25000781.0,36874.31,"(1848271.56%, 5526590.09%)",615,0.91,"(88.87%, 92.55%)",2422928,3573.64,"(346194.89%, 368533.13%)",678,1.0,"(100.00%, 100.00%)"
117,0.5,c4,s20,din,486,0.72,"(68.82%, 74.54%)",541,0.8,"(77.25%, 82.34%)",574,0.85,"(82.38%, 86.95%)",32641407.0,48143.67,"(1252929.52%, 8375804.11%)",630,0.93,"(91.29%, 94.55%)",8993872,13265.3,"(1292912.60%, 1360146.99%)",678,1.0,"(100.00%, 100.00%)"
118,0.5,c4,s21,dail,301,0.18,"(16.64%, 19.78%)",851,0.51,"(49.45%, 53.51%)",1250,0.76,"(73.88%, 77.36%)",5058259.0,3060.05,"(155222.58%, 456786.97%)",1467,0.89,"(87.46%, 90.03%)",7020461,4247.1,"(420759.17%, 428661.40%)",1653,1.0,"(100.00%, 100.00%)"
119,0.5,c4,s21,din,185,0.11,"(9.91%, 12.47%)",778,0.47,"(45.04%, 49.09%)",1194,0.72,"(70.41%, 74.05%)",2085689.0,1261.76,"(75565.33%, 176786.64%)",1345,0.81,"(79.79%, 82.95%)",19934506,12059.59,"(1198126.45%, 1213792.00%)",1653,1.0,"(100.00%, 100.00%)"
120,0.5,c4,s22,dail,1259,0.45,"(43.24%, 46.34%)",1824,0.65,"(63.40%, 66.37%)",2198,0.78,"(76.91%, 79.48%)",29485128.0,10489.2,"(748944.97%, 1348894.09%)",2506,0.89,"(88.18%, 90.12%)",17989380,6399.64,"(607330.23%, 672597.20%)",2811,1.0,"(100.00%, 100.00%)"
121,0.5,c4,s22,din,1096,0.39,"(37.47%, 40.51%)",1701,0.61,"(58.99%, 62.03%)",2103,0.75,"(73.46%, 76.16%)",27006098.0,9607.29,"(249138.58%, 1672319.83%)",2056,0.73,"(71.76%, 74.52%)",35608558,12667.58,"(1247949.82%, 1285565.52%)",2811,1.0,"(100.00%, 100.00%)"
122,0.5,c4,s24,dail,7,0.08,"(2.99%, 12.07%)",26,0.28,"(20.24%, 35.68%)",54,0.58,"(49.58%, 66.55%)",5687860.0,61159.78,"(2844576.68%, 9387380.31%)",85,0.91,"(86.57%, 96.22%)",584451,6284.42,"(569721.69%, 687162.18%)",93,1.0,"(100.00%, 100.00%)"
123,0.5,c4,s24,din,5,0.05,"(1.50%, 9.26%)",28,0.3,"(22.22%, 38.00%)",52,0.56,"(47.37%, 64.45%)",5794296.0,62304.26,"(2851110.02%, 9609741.59%)",81,0.87,"(81.33%, 92.86%)",1870744,20115.53,"(1840641.15%, 2182464.23%)",93,1.0,"(100.00%, 100.00%)"
124,0.5,c4,s25_2,dail,0,0.0,"(0.00%, 0.00%)",6,0.5,"(25.13%, 74.87%)",9,0.75,"(53.46%, 96.54%)",4116.0,343.0,"(32486.93%, 36113.07%)",7,0.58,"(33.81%, 82.86%)",64360,5363.33,"(454175.72%, 618490.94%)",12,1.0,"(100.00%, 100.00%)"
125,0.5,c4,s25_2,din,0,0.0,"(0.00%, 0.00%)",8,0.67,"(43.21%, 90.12%)",8,0.67,"(43.21%, 90.12%)",8763.0,730.25,"(41412.50%, 104637.50%)",6,0.5,"(25.13%, 74.87%)",308192,25682.67,"(1743065.15%, 3393468.18%)",12,1.0,"(100.00%, 100.00%)"
126,0.5,c4,s25_3,dail,4,0.03,"(0.62%, 6.05%)",20,0.17,"(11.03%, 22.30%)",27,0.22,"(16.18%, 28.82%)",13594639.0,113288.66,"(7913977.99%, 14743753.68%)",85,0.71,"(63.96%, 77.71%)",3260963,27174.69,"(2273842.15%, 3161096.18%)",120,1.0,"(100.00%, 100.00%)"
127,0.5,c4,s25_3,din,2,0.02,"(-0.27%, 3.60%)",14,0.12,"(6.81%, 16.52%)",15,0.12,"(7.50%, 17.50%)",10253058.0,85442.15,"(6000383.82%, 11088046.18%)",92,0.77,"(70.27%, 83.06%)",2707756,22564.63,"(2147292.72%, 2365633.94%)",120,1.0,"(100.00%, 100.00%)"
128,0.5,c4,s25_4_1,dail,0,0.0,"(0.00%, 0.00%)",0,0.0,"(0.00%, 0.00%)",0,0.0,"(0.00%, 0.00%)",581869.0,32326.06,"(234487.54%, 6230723.57%)",18,1.0,"(100.00%, 100.00%)",183740,10207.78,"(833341.20%, 1208214.36%)",18,1.0,"(100.00%, 100.00%)"
129,0.5,c4,s25_4_1,din,0,0.0,"(0.00%, 0.00%)",1,0.06,"(-3.61%, 14.72%)",1,0.06,"(-3.61%, 14.72%)",721943.0,40107.94,"(282930.77%, 7738658.12%)",18,1.0,"(100.00%, 100.00%)",681350,37852.78,"(3363224.13%, 4207331.43%)",18,1.0,"(100.00%, 100.00%)"
130,0.5,c4,s25_4_2,dail,0,0.0,"(0.00%, 0.00%)",6,0.33,"(14.47%, 52.20%)",6,0.33,"(14.47%, 52.20%)",18556.0,1030.89,"(84603.75%, 121574.02%)",17,0.94,"(85.28%, 103.61%)",206180,11454.44,"(970837.18%, 1320051.71%)",18,1.0,"(100.00%, 100.00%)"
131,0.5,c4,s25_4_2,din,0,0.0,"(0.00%, 0.00%)",0,0.0,"(0.00%, 0.00%)",0,0.0,"(0.00%, 0.00%)",17639.0,979.94,"(79908.97%, 116079.92%)",17,0.94,"(85.28%, 103.61%)",660081,36671.17,"(3080103.54%, 4254129.79%)",18,1.0,"(100.00%, 100.00%)"
132,0.5,c4,s25_4_3,dail,3046,0.56,"(54.62%, 56.83%)",3144,0.58,"(56.42%, 58.62%)",3771,0.69,"(67.96%, 70.02%)",411242616.0,75236.48,"(6768341.75%, 8278954.85%)",5225,0.96,"(95.13%, 96.05%)",30338208,5550.35,"(548582.21%, 561487.61%)",5466,1.0,"(100.00%, 100.00%)"
133,0.5,c4,s25_4_3,din,2353,0.43,"(41.94%, 44.15%)",2870,0.53,"(51.39%, 53.62%)",3477,0.64,"(62.54%, 64.69%)",421823454.0,77172.24,"(6519849.17%, 8914598.47%)",4954,0.91,"(89.98%, 91.28%)",126250407,23097.4,"(2292135.10%, 2327345.58%)",5466,1.0,"(100.00%, 100.00%)"
134,0.5,c4,s25_4_4_1,dail,227,0.16,"(14.03%, 17.17%)",627,0.43,"(40.95%, 45.24%)",733,0.5,"(48.21%, 52.54%)",110062205.0,75644.13,"(6102828.71%, 9025996.72%)",805,0.55,"(53.18%, 57.48%)",9076790,6238.34,"(611910.30%, 635758.43%)",1455,1.0,"(100.00%, 100.00%)"
135,0.5,c4,s25_4_4_1,din,56,0.04,"(3.02%, 4.68%)",539,0.37,"(34.95%, 39.13%)",654,0.45,"(42.80%, 47.10%)",137988789.0,94837.66,"(6831743.83%, 12135787.30%)",459,0.32,"(29.54%, 33.56%)",35530061,24419.29,"(2401856.59%, 2482000.60%)",1455,1.0,"(100.00%, 100.00%)"
136,0.5,c4,s25_4_4_2,dail,98,0.1,"(8.51%, 11.71%)",420,0.43,"(40.72%, 45.97%)",580,0.6,"(57.26%, 62.46%)",62309412.0,64302.8,"(5125565.40%, 7734994.36%)",817,0.84,"(82.39%, 86.24%)",6213042,6411.81,"(628323.09%, 654038.52%)",969,1.0,"(100.00%, 100.00%)"
137,0.5,c4,s25_4_4_2,din,8,0.01,"(0.35%, 1.31%)",323,0.33,"(30.83%, 35.83%)",482,0.5,"(47.09%, 52.39%)",86112537.0,88867.43,"(5737876.52%, 12035608.93%)",478,0.49,"(46.68%, 51.98%)",25563621,26381.45,"(2585486.44%, 2690802.72%)",969,1.0,"(100.00%, 100.00%)"
138,0.5,c4,s25_4_4_3,dail,0,0.0,"(0.00%, 0.00%)",0,0.0,"(0.00%, 0.00%)",0,0.0,"(0.00%, 0.00%)",516412.0,28689.56,"(723336.73%, 5014574.38%)",11,0.61,"(41.60%, 80.62%)",119093,6616.28,"(626235.34%, 697020.22%)",18,1.0,"(100.00%, 100.00%)"
139,0.5,c4,s25_4_4_3,din,0,0.0,"(0.00%, 0.00%)",0,0.0,"(0.00%, 0.00%)",0,0.0,"(0.00%, 0.00%)",502423.0,27912.39,"(645300.79%, 4937176.98%)",11,0.61,"(41.60%, 80.62%)",407731,22651.72,"(2161140.31%, 2369204.13%)",18,1.0,"(100.00%, 100.00%)"
140,0.5,c4,s25_4_4_4,dail,1687,0.29,"(28.36%, 30.34%)",2503,0.44,"(42.47%, 44.62%)",3239,0.56,"(55.27%, 57.43%)",470657924.0,81882.03,"(7443853.12%, 8932553.42%)",5122,0.89,"(88.43%, 89.79%)",38870922,6762.51,"(664891.89%, 687610.61%)",5748,1.0,"(100.00%, 100.00%)"
